code,label_eng,label_kor,degree
D000045,OxapiumIodide,요오드화옥사피움,1
D000262,Oxaprozin,옥사프로진,1
D000261,Oxatomide,옥사토마이드,1
D001091,Oxymetazoline,옥시메타졸린,1
D001783,Ozanimod,오자니모드,1
D000386,Pantoprazole,판토프라졸,1
D000188,Paricalcitol,파리칼시톨,1
D000397,Penicillamine,디페니실라민,1
D001456,Pentamidine,펜타미딘,1
D000702,Pentoxifylline,펜톡시필린,1
D001363,Pibrentasvir,피브렌타스비르,1
D000620,Pramipexole,프라미펙솔,1
D000703,Pranoprofen,프라노프로펜,1
D000305,Pravastatin,프라바스타틴,1
D001818,Praziquantel,프라지콴텔,1
D000103,Primidone,프리미돈,1
D000211,Proglumetacin,프로글루메타신,1
D000413,Pyridoxine,피리독신,1
D000178,Quazepam,쿠아제팜,1
D000811,Quinupramine,퀴누프라민,1
D001314,Radium223dichloride,라듐-223염화물,1
D000418,Repaglinide,레파글리니드,1
D000301,Revaprazan,레바프라잔,1
D001073,Riociguat,리오시구앗,1
D000751,S-Pantoprazole,에스판토프라졸,1
D001781,Salmeterol,살메테롤,1
D000544,Salsalate,살살레이트,1
D000342,Silodosin,실로도신,1
D000568,SodiumIodide(131I),요오드화나트륨(131I),1
D000338,Spiramycin,스피라마이신,1
D000546,Sulfamethoxazole,설파메톡사졸,1
D000644,Sulindac,설린닥,1
D000481,Tafluprost,타플루프로스트,1
D001032,Tamsulosin,탐스로신,1
D001016,Tapentadol,타펜타돌,1
D001347,Tenecteplase,테넥테플라제,1
D000521,TerbutalineSulfate,테르부탈린황산염,1
D000778,Thiothixene,티오틱센,1
D000065,Topiramate,토피라메이트,1
D000842,Toremifene,토레미펜,1
D000590,TranexamicAcid,트라넥삼산,1
D000753,Trifluoperazine,트리플루오페라진,1
D000806,Trometamol,트로메타몰,1
D001784,Tucatinib,투카티닙,1
D000635,Vandetanib,반데타닙,1
D001611,Vedolizumab,베돌리주맙,1
D000329,Verapamil,베라파밀,1
D001736,Vericiguat,베리시구앗,1
D000766,Zaltoprofen,잘토프로펜,1
D001176,nitrousoxide,아산화질소,1
D001178,selexipag,셀렉시팍,1
