code,label_eng,label_kor,degree,is_age_contra,age_rule,age_reason,is_preg_contra,preg_grade,preg_reason,is_elderly_caution,elderly_reason
D000644,Sulindac,설린닥,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서동맥관수축|난산발생빈도증가|분만지연|태아생존율감소보고.,True,-
D000481,Tafluprost,타플루프로스트,1,False,-,-,True,2등급,임부에대한안전성미확립.,False,-
D001032,Tamsulosin,탐스로신,1,False,-,-,True,2등급,-,False,-
D001016,Tapentadol,타펜타돌,1,True,18세미만,8세미만에서사용권장되지않음.,True,2등급,-,False,-
D001347,Tenecteplase,테넥테플라제,1,False,-,-,True,2등급,동물실험에서유산과태반유실로인한것으로생각되는질출혈의위험성이높았음.,False,-
D000521,TerbutalineSulfate,테르부탈린황산염,1,False,-,-,True,2등급,(정제)임부에대한안전성미확립심각한이상반응(심장박동증가|일시적고혈당증|저칼륨증|심장부정맥|폐부종및심근허혈)및태아의심장박동증가|신생아폐부종발생보고(흡입제)임부에대한안전성미확립,False,-
D000778,Thiothixene,티오틱센,1,True,12세이하,-안전성및유효성미확립-소아에투여한경우추체외로증상특히운동장애가나타나기쉽다는보고가있음,True,2등급,임부에대한안전성미확립.동물실험에서태자독성(태자사망등)보고.임신말기나분만중다른항정신병약투여시신생아에서기면|진전|과흥분성보고.임신3기에투여시신생아에서추체외로장애|금단증상(초조|근육긴장항진또는저하|진전등)보고.,True,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여
D000065,Topiramate,토피라메이트,1,True,2세미만,안전성및유효성미확립,True,2등급,선천성기형(구순열|구개열|두개안면결손|요도밑열림증등)의위험증가및높은유병률(저체중출생)보고.,False,-
D000842,Toremifene,토레미펜,1,False,-,-,True,2등급,동물실험에서생식독성|태자독성(사망|발육부진|내장/골격이상|출생시생식장애)|임신유지및분만장애등의생식장애보고.,False,-
D000590,TranexamicAcid,트라넥삼산,1,False,-,-,False,-,-,False,-
D000753,Trifluoperazine,트리플루오페라진,1,False,-,-,True,2등급,동물실험에서태자독성(태자사망|유산|조산등)보고.임신3기에투여시신생아에서추체외로장애|금단증상(초조|근육긴장항진또는저하|진전등)보고.,False,-
D000806,Trometamol,트로메타몰,1,True,2세이하,_,False,-,-,False,-
D001784,Tucatinib,투카티닙,1,False,-,-,True,2등급,-임부에대한안전성미확립-태아독성가능성-동물실험에서태자이상소견(재흡수증가|생존태자백분율감소|태자의골격|장관|외모기형|태자체중감소|태자골화지연)과모체체중감소가나타남,False,-
D000635,Vandetanib,반데타닙,1,False,-,-,True,2등급,-임산부에게투여했을때태아에게해를입힐수있음.인체권장용량인300mg/day투여시에랫트에서배자독성|태아독성과최기형성을나타냄.교미전과수태첫1주동안투여했을때|착상전소실이증가하였고착상후소실로인해생존배자의수가유의하게감소함.-기관형성기동안투여했을때는배태자사망을포함하여착상후소실이증가함.반데타닙1|10|및25mg/kg/day용량(인체권장용량을투여한암환자에서의Cmax|각각약0.03|0.4|및1.0배에해당)을기관형성기동안투여했을때|심장혈관의기형이발생하고두개골|척추|흉골의골화지연을포함한골격근변형으로태자발달지연이시사됨.-랫트출생전후발달연구에서는수태및/또는수유기간동안모체독성을일으키는용량(1및10mg/kg/day)으로반데타닙을투여했을때새끼생존율이감소|출생후성장저하(신체발달지연동반)됨.-가임여성에게는이약투여중에임신하지않아야하며|이약투여후최소4달의휴약기가있어야함.,False,-
D001611,Vedolizumab,베돌리주맙,1,False,-,-,True,2등급,임부에대한안전성미확립,False,-
D000329,Verapamil,베라파밀,1,True,24개월미만,신생아및영아는칼슘채널차단제의감수성이높고|서맥|심장마비등을일으킬위험이있음신생아및영아에게이약을투여했을때심각한서맥과저혈압|심장마비등이나타났다는보고가있음,True,2등급,동물실험에서모체의체중증가억제|저혈압유발등모체에대한유해한영향에의한태자의발육및성장지연과사망보고.,False,-
D001736,Vericiguat,베리시구앗,1,False,-,-,True,1등급,-동물실험에서유산|흡수증가|심장및주요혈관기형|새끼의체중증가량감소|새끼치사율증가관찰,False,-
D000766,Zaltoprofen,잘토프로펜,1,False,-,-,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서동맥관수축|난산발생빈도증가|분만지연|태아생존율감소보고.,True,-
D001176,nitrousoxide,아산화질소,1,False,-,-,False,-,-,False,-
D001178,selexipag,셀렉시팍,1,False,-,-,False,-,-,False,-
