DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
6419,임부금기,복합,D001098,Noscapine,노스카핀,[D001110]Carbinoxamine(카르비녹사민)/[D001116]Methylephedrine(메틸에페드린)/[D001664]Glycyrrhizaextractpowder(감초엑스산)/[D001109]PotassiumGuaiacolsulfonate(구아야콜설폰산칼륨)/[D000200]Dextromethorphan(덱스트로메토르판)/[D001804]TrichosanthesSeed(괄루인)/[D001125]PlatycodonisRadix(길경)/[D001266]AnhydrousCaffeine(카페인무수물)/[D001685]Rawgingerextractpowder(생강엑스산),-,-,-,20250714,-,경질캡슐제|산제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5318,임부금기,단일,D001561,Defibrotide,데피브로타이드,-,[A000152]데피브로타이드,-,-,20220630,임부에대한안전성미확립|랫드및토끼에서출혈성유산의발생률증가,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5332,임부금기,단일,D001588,Entrectinib,엔트렉티닙,-,[A110496]엔트렉티닙,-,-,20220630,임부에대한안전성미확립,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5351,임부금기,단일,D001562,Ranolazine,라놀라진,-,[A110483]라놀라진,-,-,20220630,동물연구에서배·태자독성을보임,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5984,임부금기,단일,D001699,Neratinib,네라티닙,-,[A110653]네라티닙,-,-,20230705,-토끼에서유산|배태자사망(흡수증가)|태자이상관찰됨,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5980,임부금기,단일,D001738,Roxadustat,록사두스타트,-,[A110634]록사두스타트,-,-,20230705,-Roxadustat의콜레스테롤저하효과로임신후기에위해성우려가있음.-동물실험에서태아체중감소및발달지연|태반무게증가|모체체중감소|유산|심박수증가관찰됨.,필름코팅정,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
5983,임부금기,단일,D001694,Lazertinib,레이저티닙,-,[M280186]레이저티닙메실산염일수화물,-,-,20230705,-랫트에서태자착상후손실증가및중량감소관찰됨.,필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
6443,임부금기,복합,D000493,Guaifenesin,구아이페네신,[D000147]Acetaminophen(아세트아미노펜)/[D000448]Pseudoephedrine(슈도에페드린)/[D000200]Dextromethorphan(덱스트로메토르판)/[D000893]Chlorpheniramine(클로르페니라민),[M040084]브롬화수소산덱스트로메토르판/[M040353]아세트아미노펜/[M040616]말레인산클로르페니라민/[M050058]구아이페네신/[M050213]말레인산덱스클로르페니라민/[M050833]염산슈도에페드린/[M051529]클로르페니라민/[M081720]황산슈도에페드린/[M082309]아세트아미노펜제피세립/[M082701]디엘말레인산클로르페니라민/[M083325]디말레인산클로르페니라민/[M099959]말레인산클로로페니라민/[M100018]말레산클로르페니라민/[M100476]디말레인산클로르페니라민/[M101581]디엘말레인산클로르페니라민/[M200471]말레인산클로르페니라민제피과립/[M202197]D-말레인산클로르페니라민/[M202204]DL-말레인산클로르페니라민/[M202983]덱스트로메토르판브롬화수소산염/[M203364]슈도에페드린염산염/[M203913]클로르페니라민말레인산염/[M212847]클로르페니라민말레이트/[M222865]수도에페드린염산염/[M222957]덱스트로메토르판브롬화수소산염수화물/[M223211]클로르페니라민말레산염/[M223212]d-클로르페니라민말레산염/[M223213]클로르페니라민말레산염산/[M223214]클로르페니라민말레산염정/[M223215]클로르페니라민말레산염주사액/[M226783]dl-클로르페니라민말레산염/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M248579]수도에페드린황산염/[M249715]덱스클로르페니라민말레산염/[M251936]덱스클로르페니라민말레이트/[M256034]수도에페드린염산염과립/[M258826]수도에페드린/[M262287]아세트아미노펜과립,-,-,20250714,-,연질캡슐제|액상,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5101,임부금기,단일,D001464,Peginterferonbeta-1a,페그인터페론베타-1a,-,[A001271]페그인터페론베타-1A/[M264255]페그인터페론베타-1a,-,-,20201228,자연유산위험증가보고,용액주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5298,임부금기,단일,D001546,Armodafinil,아모다피닐,-,[A000703]아모다피닐,-,-,20220630,임신레지스트리및자발보고에서얻은제한된사용경험에따르면이약을임신중에투여했을때선천성기형을유발하는것으로추정됨|동물시험에서는생식독성을보임,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5299,임부금기,단일,D001567,Ataluren,아탈루렌,-,[A000751]아탈루렌,-,-,20220630,동물시험에서임신모체의독성을일으켰던용량에서만생식독성이발생함|랫드와토끼에서배태자독성시험(예|조기재흡수증가|착상후손실|태자생존감소)과성장지연의징후(골격계변형증가)등이모체독성에서발견됨,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
5317,임부금기,단일,D001073,Riociguat,리오시구앗,-,[M259695]리오시구앗(미분화),-,-,20220630,랫드에서심장기형(심실중격결손)유발|배자독성(착상후소실증가)관찰됨.토끼에서자연유산|흡수증가관찰됨,-,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
5319,임부금기,단일,D001578,Asfotasealfa,아스포타제알파,-,[A000736]아스포타제알파,-,-,20220630,임부에대한안전성미확립|태반통과가능성있음,-,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
